Transaction Hash,Status,Type,Method ,Block,Age,From,From_NameTag,To,To_NameTag,Amount,Value (USD),Asset,Txn Fee
0x4847c4852faa4390c63cbdb72eebfeda890bb3daee396cc5b4387ad5f06c8179,Success,Internal Tx,Xf Lobby Flush,11213171,1488 days ago,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX.com: HEX Token,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,15.81704,"$60,852.57",Ethereum(ETH),0.00120804
0x9462287f73093d6e7a2db99142de8359597f8fef423849b4e979d756d959e101,Success,Internal Tx,Xf Lobby Flush,11213013,1488 days ago,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX.com: HEX Token,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,189.920302,"$730,676.46",Ethereum(ETH),0.00120804
0xa4ead3645b3f439a26a6b1fa365b532bf64b045b78de3865ead48fbaec75b644,Success,Internal Tx,Xf Lobby Flush,11208267,1489 days ago,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX.com: HEX Token,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,"12,212.16786","$46,983,621.33",Ethereum(ETH),0.00181206
0x4afb875d788e5a4b0b8537e7bcbd34a64414f9662f5f86b03e6ead8ec4859e28,Success,Internal Tx,Xf Lobby Flush,11206141,1490 days ago,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX.com: HEX Token,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,"4,575.124179","$17,601,780.82",Ethereum(ETH),0.00120804
0xfb300a59258423d6da683f80fb1a6d963b6e907e9a7c7a5723a4d53b6a044136,Success,Tx,Transfer,11202267,1490 days ago,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,0,$0.00,Ethereum(ETH),0.0012705
0x1c0f930ba0fe72d2157786f3cb7f5aa1da6054f563b54a40cf4e757f3732a425,Success,Tx,Transfer,11202267,1490 days ago,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,0,$0.00,Ethereum(ETH),0.0012705
0x04b44bafcdd5c84770886b266bd782470da555258cddea4124354c9c8f96c7aa,Success,Internal Tx,Xf Lobby Flush,11202018,1490 days ago,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX.com: HEX Token,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,"9,865.445037","$37,955,123.06",Ethereum(ETH),0.0030201
0xf01ee7096290183478fb10d455aa778f116dde651913735f4c0684f76fe5a7d2,Success,Internal Tx,Xf Lobby Flush,11197809,1491 days ago,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX.com: HEX Token,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,"7,241.556342","$27,860,290.24",Ethereum(ETH),0.00543618
0x64de0a0dadb2ee13df4a65270f76195a865fa4526ec3620f93bed7cab52f24ac,Success,Internal Tx,Xf Lobby Flush,11194291,1491 days ago,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX.com: HEX Token,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,"6,423.3","$24,712,229.50",Ethereum(ETH),0.00151005
0xba8f08e3ddce39a773c975fab1324b86f89f0cf44c35ec18fcdf796dee06ba40,Success,Internal Tx,Xf Lobby Flush,11193536,1491 days ago,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,HEX.com: HEX Token,0xdec9f2793e3c17cd26eefb21c4762fa5128e0399,Hex.win,"5,251.334848","$20,203,352.17",Ethereum(ETH),0.00102683
